Namespace,Pod Name,Severity,Message
default,app-h-d9dbc9c9b-kqnt6,MEDIUM,"Container 'php-app': allowPrivilegeEscalation not set, defaults to true when running as root and not privileged."
default,app-h-d9dbc9c9b-kqnt6,MEDIUM,Container 'php-app' not configured to run as non-root (effective UID potentially 0).
default,app-h-d9dbc9c9b-kqnt6,LOW,Container 'php-app' uses default capabilities (consider dropping ALL).
default,app-h-d9dbc9c9b-kqnt6,LOW,Container 'php-app' missing readOnlyRootFilesystem.
default,app-h-d9dbc9c9b-kqnt6,LOW,Container 'php-app' missing livenessProbe (risk of undetected failures).
default,app-h-d9dbc9c9b-kqnt6,LOW,Container 'php-app' missing readinessProbe (risk of sending traffic to unready instances).
default,app-h-d9dbc9c9b-kqnt6,INFO,Pod missing recommended runAsGroup setting.
default,app-h-d9dbc9c9b-kqnt6,INFO,Pod missing recommended fsGroup setting.
default,app-h-d9dbc9c9b-kqnt6,INFO,Container 'php-app' missing recommended runAsGroup setting (and no Pod-level default).
default,app-h-d9dbc9c9b-kqnt6,INFO,Pod securityContext missing recommended setting or annotation: 'runAsNonRoot: true'.
default,app-h-d9dbc9c9b-kqnt6,INFO,Pod securityContext missing recommended setting or annotation: 'seccompProfile'.
default,app-h-d9dbc9c9b-kqnt6,INFO,Pod securityContext missing recommended setting or annotation: 'AppArmor profile annotation'.
default,everything-allowed-exec-pod,HIGH,Container 'everything-allowed-pod' is privileged.
default,everything-allowed-exec-pod,HIGH,Pod uses hostNetwork: true.
default,everything-allowed-exec-pod,HIGH,Pod uses hostPID: true.
default,everything-allowed-exec-pod,HIGH,Pod uses hostIPC: true.
default,everything-allowed-exec-pod,HIGH,Pod mounts sensitive host path '/' via volume 'noderoot'.
default,everything-allowed-exec-pod,MEDIUM,Container 'everything-allowed-pod' not configured to run as non-root (effective UID potentially 0).
default,everything-allowed-exec-pod,LOW,Container 'everything-allowed-pod' uses default capabilities (consider dropping ALL).
default,everything-allowed-exec-pod,LOW,Container 'everything-allowed-pod' missing readOnlyRootFilesystem.
default,everything-allowed-exec-pod,LOW,Container 'everything-allowed-pod' missing livenessProbe (risk of undetected failures).
default,everything-allowed-exec-pod,LOW,Container 'everything-allowed-pod' missing readinessProbe (risk of sending traffic to unready instances).
default,everything-allowed-exec-pod,INFO,Pod missing recommended runAsGroup setting.
default,everything-allowed-exec-pod,INFO,Pod missing recommended fsGroup setting.
default,everything-allowed-exec-pod,INFO,Container 'everything-allowed-pod' missing recommended runAsGroup setting (and no Pod-level default).
default,everything-allowed-exec-pod,INFO,Pod securityContext missing recommended setting or annotation: 'runAsNonRoot: true'.
default,everything-allowed-exec-pod,INFO,Pod securityContext missing recommended setting or annotation: 'seccompProfile'.
default,everything-allowed-exec-pod,INFO,Pod securityContext missing recommended setting or annotation: 'AppArmor profile annotation'.
default,metrics-exporter,HIGH,Container 'system-agent' is privileged.
default,metrics-exporter,HIGH,Pod mounts sensitive host path '/' via volume 'host-root'.
default,metrics-exporter,HIGH,Pod mounts sensitive host path '/var/run/docker.sock' via volume 'docker-sock'.
default,metrics-exporter,MEDIUM,Container 'system-agent' not configured to run as non-root (effective UID potentially 0).
default,metrics-exporter,LOW,Container 'system-agent' uses default capabilities (consider dropping ALL).
default,metrics-exporter,LOW,Container 'system-agent' missing readOnlyRootFilesystem.
default,metrics-exporter,LOW,Container 'system-agent' missing livenessProbe (risk of undetected failures).
default,metrics-exporter,LOW,Container 'system-agent' missing readinessProbe (risk of sending traffic to unready instances).
default,metrics-exporter,INFO,Pod missing recommended runAsGroup setting.
default,metrics-exporter,INFO,Pod missing recommended fsGroup setting.
default,metrics-exporter,INFO,Container 'system-agent' missing recommended runAsGroup setting (and no Pod-level default).
default,metrics-exporter,INFO,Pod securityContext missing recommended setting or annotation: 'runAsNonRoot: true'.
default,metrics-exporter,INFO,Pod securityContext missing recommended setting or annotation: 'seccompProfile'.
default,metrics-exporter,INFO,Pod securityContext missing recommended setting or annotation: 'AppArmor profile annotation'.
